# All 242 Metro station names as they will be displayed.
# Source name on the left, what a passenger sees on the right.
# Wrong ones: fix ACCENTS in src/pulso_metro/names.py.

PARQUE DE LOS ESTADOS            Parque de los Estados
PARQUE DE SANTA MARIA            Parque de Santa María
PARQUE EUROPA                    Parque Europa
PARQUE LISBOA                    Parque Lisboa
PARQUE OESTE                     Parque Oeste
PAVONES                          Pavones
PEÑAGRANDE                       Peñagrande
PINAR DE CHAMARTIN               Pinar de Chamartin
PINAR DEL REY                    Pinar del Rey
PIO XII                          Pío XII
PIRAMIDES                        Pirámides
PITIS                            Pitis
PLAZA DE CASTILLA                Plaza de Castilla
PLAZA DE ESPAÑA                  Plaza de España
PLAZA ELIPTICA                   Plaza Elíptica
PORTAZGO                         Portazgo
PRADILLO                         Pradillo
PRINCIPE DE VERGARA              Príncipe de Vergara
PRINCIPE PIO                     Príncipe Pío
PROSPERIDAD                      Prosperidad
PUEBLO NUEVO                     Pueblo Nuevo
PUENTE DE VALLECAS               Puente de Vallecas
PUERTA DE ARGANDA                Puerta de Arganda
PUERTA DE TOLEDO                 Puerta de Toledo
PUERTA DEL ANGEL                 Puerta del Angel
PUERTA DEL SUR                   Puerta del Sur
QUEVEDO                          Quevedo
QUINTANA                         Quintana
REPUBLICA ARGENTINA              República Argentina
RETIRO                           Retiro
REYES CATOLICOS                  Reyes Católicos
RIOS ROSAS                       Ríos Rosas
RIVAS FUTURA                     Rivas Futura
RIVAS URBANIZACIONES             Rivas Urbanizaciones
RIVAS VACIAMADRID                Rivas Vaciamadrid
RONDA DE LA COMUNICACION         Ronda de la Comunicación
RUBEN DARIO                      Rubén Darío
SAINZ DE BARANDA                 Sainz de Baranda
SAN BERNARDO                     San Bernardo
SAN BLAS                         San Blas
SAN CIPRIANO                     San Cipriano
SAN CRISTOBAL                    San Cristóbal
SAN FERMIN-ORCASUR               San Fermín-Orcasur
SAN FERNANDO                     San Fernando
SAN FRANCISCO                    San Francisco
SAN LORENZO                      San Lorenzo
SAN NICASIO                      San Nicasio
SANTIAGO BERNABEU                Santiago Bernabéu
SANTO DOMINGO                    Santo Domingo
SERRANO                          Serrano
SEVILLA                          Sevilla
SIERRA DE GUADALUPE              Sierra de Guadalupe
SIMANCAS                         Simancas
SOL                              Sol
SUANZES                          Suanzes
TETUAN                           Tetuán
TIRSO DE MOLINA                  Tirso de Molina
TORRE ARIAS                      Torre Arias
TRES OLIVOS                      Tres Olivos
TRIBUNAL                         Tribunal
UNIVERSIDAD REY JUAN CARLOS      Universidad Rey Juan Carlos
URGEL                            Urgel
USERA                            Usera
VALDEACEDERAS                    Valdeacederas
VALDEBERNARDO                    Valdebernardo
VALDECARROS                      Valdecarros
VALDEZARZA                       Valdezarza
VELAZQUEZ                        Velázquez
VENTAS                           Ventas
VENTILLA                         Ventilla
VENTURA RODRIGUEZ                Ventura Rodríguez
VICALVARO                        Vicálvaro
VICENTE ALEIXANDRE               Vicente Aleixandre
VILLA DE VALLECAS                Villa de Vallecas
VILLAVERDE ALTO                  Villaverde Alto
VILLAVERDE BAJO CRUCE            Villaverde Bajo Cruce
VINATEROS                        Vinateros
VISTA ALEGRE                     Vista Alegre
